Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
426,The Graduate,https://www.imdb.com/title/tt0061722/,41951,51989,78325,46827,17344,6344,2680,1520,1000,2128,157400,40392,8.0,7.8
427,Who's Afraid of Virginia Woolf?,https://www.imdb.com/title/tt0061184/,14863,14303,17648,10334,4476,2248,1158,712,589,1560,43327,11695,8.0,8.1
428,The Sound of Music,https://www.imdb.com/title/tt0059742/,51212,37290,52793,30764,12908,5702,2695,1699,1240,2464,91266,58170,7.8,8.4
429,Doctor Zhivago,https://www.imdb.com/title/tt0059113/,14348,13468,19492,11163,4723,2127,947,543,345,1183,43226,10240,8.0,7.9
430,A Fistful of Dollars,https://www.imdb.com/title/tt0058461/,25570,38741,74060,37485,10498,3165,1175,613,440,888,140195,9038,8.0,7.7
431,Federico Fellini's 8½,https://www.imdb.com/title/tt0056801/,29603,19883,24672,14432,6848,3914,2053,1456,1144,2570,68919,12526,8.0,8.0
432,Vivre Sa Vie,https://www.imdb.com/title/tt0056663/,5360,5268,7984,4668,1870,689,347,192,131,349,16725,4650,8.0,8.1
433,The Hustler,https://www.imdb.com/title/tt0054997/,11857,15655,24285,13610,4501,1742,711,403,268,1025,53953,5528,8.0,7.7
434,La Dolce Vita,https://www.imdb.com/title/tt0053779/,16117,13030,16032,9180,4583,2197,1116,756,566,1172,41823,9275,8.0,7.9
435,Rio Bravo,https://www.imdb.com/title/tt0053221/,10859,10545,17010,9723,3617,1407,539,314,212,638,39138,3838,8.0,7.8
436,Anatomy of a Murder,https://www.imdb.com/title/tt0052561/,8148,12786,20416,10610,3352,1248,472,282,234,938,40935,7169,8.0,7.9
437,Touch of Evil,https://www.imdb.com/title/tt0052311/,18014,20332,27462,16760,6622,3052,1384,983,624,1742,65303,7957,8.0,7.7
438,Cat on a Hot Tin Roof,https://www.imdb.com/title/tt0051459/,7537,9095,14760,7809,2744,1026,433,204,155,282,25152,9602,7.9,8.2
439,The Killing,https://www.imdb.com/title/tt0049406/,10657,16590,27802,15370,4875,1685,679,408,293,1406,58207,5280,8.0,7.7
440,The Night of the Hunter,https://www.imdb.com/title/tt0048424/,17261,16483,21060,12913,5819,2652,1287,801,584,1448,55535,8772,8.0,8.0
441,La Strada,https://www.imdb.com/title/tt0047528/,12600,11689,15506,8681,3696,1756,817,505,424,1358,38419,7798,8.0,8.1
442,Les Diaboliques,https://www.imdb.com/title/tt0046911/,9202,13255,19673,10292,3286,1607,678,474,384,1541,39578,6753,8.1,8.0
443,Stalag 17,https://www.imdb.com/title/tt0046359/,9255,10787,15223,8553,3000,1279,541,331,265,1101,36060,4371,8.0,8.0
444,Roman Holiday,https://www.imdb.com/title/tt0046250/,23460,26540,39460,22023,7138,2523,956,554,386,1780,62974,35270,8.0,8.2
445,A Streetcar Named Desire,https://www.imdb.com/title/tt0044081/,18784,19720,28549,16649,6747,2878,1377,771,527,1338,58243,19111,7.9,8.1
446,In a Lonely Place,https://www.imdb.com/title/tt0042593/,3758,5126,8809,4971,1619,584,217,103,67,159,17483,2893,8.0,8.0
447,Kind Hearts and Coronets,https://www.imdb.com/title/tt0041546/,6773,7338,9781,5235,2040,857,358,230,241,965,23469,3963,8.0,8.1
448,Rope,https://www.imdb.com/title/tt0040746/,17633,26252,43551,24513,8172,2753,1043,590,466,1206,84029,15433,8.0,8.0
449,Out of the Past,https://www.imdb.com/title/tt0039689/,5768,6576,9685,5566,2042,761,325,162,141,807,22172,3189,8.0,7.9
450,Brief Encounter,https://www.imdb.com/title/tt0037558/,7496,7268,9532,5475,2289,967,461,234,184,672,22387,5485,8.0,8.2
451,Laura,https://www.imdb.com/title/tt0037008/,7616,8238,13088,7742,2680,974,399,213,155,635,26452,6477,7.9,8.1
452,The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/,12482,10863,15709,9168,3347,1614,710,474,394,1565,34301,7427,8.0,8.1
453,Arsenic and Old Lace,https://www.imdb.com/title/tt0036613/,13927,13136,17526,10404,4187,1914,907,484,390,1364,37840,12464,7.9,8.2
454,The Maltese Falcon,https://www.imdb.com/title/tt0033870/,26592,30513,43493,26584,10163,4082,1754,1039,739,1962,95707,14883,8.0,7.8
455,The Grapes of Wrath,https://www.imdb.com/title/tt0032551/,15717,17269,25358,14227,5337,2587,1221,782,557,1610,54058,9827,8.1,7.9
456,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,83807,65606,97531,65633,27295,11681,4962,2952,2149,4910,203251,73612,8.0,8.2
457,La Règle du Jeu,https://www.imdb.com/title/tt0031885/,6549,5027,6090,4075,1920,876,442,232,176,761,18345,2671,8.1,7.8
458,The Thin Man,https://www.imdb.com/title/tt0025878/,6063,5096,7081,4256,1684,715,266,158,116,395,15572,4440,7.9,8.3
459,All Quiet on the Western Front,https://www.imdb.com/title/tt0020629/,10682,11925,16691,9201,3507,1614,692,449,361,1285,40085,5440,8.1,7.8
460,Battleship Potemkin,https://www.imdb.com/title/tt0015648/,10935,9306,14303,8644,3742,1739,740,457,388,1582,35655,5244,8.0,7.8
461,Knives Out,https://www.imdb.com/title/tt8946378/,44977,81700,142696,77892,22180,6372,2441,1373,994,2500,203233,48807,7.9,7.8
462,The Gentlemen,https://www.imdb.com/title/tt8367814/,25000,39241,62944,34869,11137,3878,1559,843,547,1205,105797,18361,7.8,7.9
463,Tenet,https://www.imdb.com/title/tt6723592/,17821,19525,24076,14444,6548,3023,1479,950,686,1601,50710,6736,7.8,7.7
464,Call Me by Your Name,https://www.imdb.com/title/tt5726616/,47646,41807,47731,30583,13928,6307,3134,2042,1545,5244,88931,46510,7.7,8.2
465,"I, Daniel Blake",https://www.imdb.com/title/tt5168192/,5942,10066,18412,10673,3293,1050,403,221,163,1467,32692,7381,7.8,8.1
466,Isle of Dogs,https://www.imdb.com/title/tt5104604/,17484,27530,46456,26930,8896,2999,1092,521,387,796,74824,17162,7.8,8.0
467,Dunkirk,https://www.imdb.com/title/tt5013056/,80988,113297,153248,102694,42990,17198,7751,4646,3305,7288,320609,53669,7.8,7.9
468,Hunt for the Wilderpeople,https://www.imdb.com/title/tt4698684/,12776,20961,38114,22389,6961,1969,690,374,244,403,64722,14016,7.8,8.1
469,Captain Fantastic,https://www.imdb.com/title/tt3553976/,24055,37264,64188,37204,11827,3714,1569,818,623,1194,107819,29295,7.8,8.0
470,Sing Street,https://www.imdb.com/title/tt3544112/,11565,17665,29471,16741,4985,1392,478,214,127,326,48238,12726,7.9,7.9
471,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,91502,116883,179943,108523,38393,13294,5596,3152,2197,6126,316658,64536,7.8,8.1
472,Nightcrawler,https://www.imdb.com/title/tt2872718/,40285,87239,174243,102390,29596,8718,3284,1576,983,1813,290296,48688,7.9,7.6
473,Jojo Rabbit,https://www.imdb.com/title/tt2584384/,38372,55932,85250,47665,16530,5666,2441,1422,1030,2394,138821,33149,7.8,8.2
474,Arrival,https://www.imdb.com/title/tt2543164/,81124,129731,176944,107705,43316,16562,7516,4450,3094,6286,344291,70131,7.9,7.9
475,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/,162110,177872,221608,144342,61275,27369,13227,8865,7047,21993,506453,82602,7.9,8.1
476,Before Midnight,https://www.imdb.com/title/tt2209418/,21052,27630,41332,25959,10522,4297,1963,1211,951,1940,81602,28563,7.9,7.7
477,X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/,100173,141197,218333,126631,40118,12407,4523,2255,1472,3765,412646,78990,7.9,8.1
478,Once Upon a Time in Anatolia,https://www.imdb.com/title/tt1827487/,10162,8002,9830,5963,2531,1184,631,376,331,992,27913,4521,7.8,8.0
479,The Artist,https://www.imdb.com/title/tt1655442/,33259,49539,70100,41991,15970,6574,2969,1775,1403,3933,146350,44129,7.9,8.1
480,Edge of Tomorrow,https://www.imdb.com/title/tt1631867/,72112,118462,216228,125307,36249,10226,3509,1692,1030,1946,396955,53755,7.9,7.7
481,Amour,https://www.imdb.com/title/tt1602620/,13312,19231,27933,17102,6910,2915,1367,790,598,1133,57237,19068,7.8,7.9
482,The Irishman,https://www.imdb.com/title/tt1302006/,44370,63513,92780,59832,24048,9417,4142,2529,1665,3276,182761,23281,7.9,7.4
483,A Prophet,https://www.imdb.com/title/tt1235166/,10344,19727,32731,18922,6387,2036,744,422,248,591,71667,7754,7.9,7.7
484,Moon,https://www.imdb.com/title/tt1182345/,37619,69358,119997,67159,21944,7117,2811,1453,877,1746,239951,31247,7.9,7.8
485,Let the Right One In,https://www.imdb.com/title/tt1139797/,33837,44366,60901,34420,14013,6000,2996,1761,1381,3134,140122,32537,7.9,7.8
486,District 9,https://www.imdb.com/title/tt1136608/,94066,144162,192732,109277,43678,18327,9091,6007,4228,9107,457892,61447,7.9,7.7
487,The Wrestler,https://www.imdb.com/title/tt1125849/,35919,59289,97227,58117,20200,7097,2912,1569,1127,2960,220055,24493,7.9,7.6
489,Boyhood,https://www.imdb.com/title/tt1065073/,54556,68901,89138,61271,27729,12159,5661,3556,2529,5552,203131,56904,7.9,7.7
490,"4 Months, 3 Weeks and 2 Days",https://www.imdb.com/title/tt1032846/,10367,10924,16388,10007,3720,1491,703,432,346,1173,37332,10037,7.9,7.9
491,Star Trek,https://www.imdb.com/title/tt0796366/,91962,124154,191590,102726,33240,11693,5109,3059,2255,6315,398517,72234,7.9,8.1
492,In Bruges,https://www.imdb.com/title/tt0780536/,56338,83342,127044,70695,25920,9450,4230,2307,1664,3025,272673,44479,7.9,7.8
493,The Man from Earth,https://www.imdb.com/title/tt0756683/,37768,37619,44775,25804,11279,4979,2560,1683,1402,3038,126570,14943,7.9,7.7
494,Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/,20459,30783,52594,29851,10144,3477,1444,716,502,2263,117262,11109,7.9,7.8
495,The Fall,https://www.imdb.com/title/tt0460791/,22553,21813,28952,18026,7707,3161,1541,826,538,797,66178,23966,7.7,8.3
496,Life of Pi,https://www.imdb.com/title/tt0454876/,80401,119286,184800,112118,41183,15070,6639,3669,2519,5134,351303,94166,7.9,8.0
497,Fantastic Mr. Fox,https://www.imdb.com/title/tt0432283/,27492,38357,64765,37826,13655,5205,2354,1302,835,1564,121502,30908,7.8,7.8
498,C.R.A.Z.Y.,https://www.imdb.com/title/tt0401085/,6397,6554,9196,5419,1937,759,319,167,127,312,19829,6478,7.8,8.1
499,The Chorus,https://www.imdb.com/title/tt0372824/,9727,11165,19135,10454,3574,1147,441,226,149,272,30074,14545,7.7,8.2
500,Iron Man,https://www.imdb.com/title/tt0371746/,129473,171956,333970,190521,57481,18337,6917,3654,2369,6957,589748,111022,7.8,7.9
501,Shaun of the Dead,https://www.imdb.com/title/tt0365748/,89856,96750,158575,91495,35356,13054,5900,3381,2391,6033,336597,60666,7.9,7.9
502,Head-On,https://www.imdb.com/title/tt0347048/,8893,10528,16228,9086,2914,1093,442,263,211,640,32214,9744,7.9,8.1
503,Mystic River,https://www.imdb.com/title/tt0327056/,47388,87844,152477,78804,25261,8799,3855,2133,1509,3730,279093,53157,7.9,7.9
504,Harry Potter and the Prisoner of Azkaban,https://www.imdb.com/title/tt0304141/,97677,86555,171665,113506,37797,12959,4764,2573,1438,5026,297061,105739,7.7,8.2
505,Hero,https://www.imdb.com/title/tt0299977/,32058,34688,51112,29954,12297,4727,2257,1352,900,2838,122260,16727,7.9,8.0
506,Talk to Her,https://www.imdb.com/title/tt0287467/,15921,22655,33955,17963,6335,2305,1008,670,512,1589,61546,21767,7.9,8.0
507,No Man's Land,https://www.imdb.com/title/tt0283509/,8006,8651,14915,7817,2502,856,342,198,167,539,31664,4300,7.9,8.1
508,Cowboy Bebop: The Movie,https://www.imdb.com/title/tt0275277/,7362,7989,13691,7954,2906,971,354,210,160,439,29349,3414,7.9,7.9
509,The Bourne Identity,https://www.imdb.com/title/tt0258463/,57972,92243,197911,106937,29216,8545,3009,1404,764,1489,344009,49965,7.9,7.8
510,Nine Queens,https://www.imdb.com/title/tt0247586/,6359,10150,17841,10001,2725,854,324,209,142,262,34135,5455,7.9,7.9
511,Children of Men,https://www.imdb.com/title/tt0206634/,77569,94809,131285,84262,36312,14138,6599,3810,2557,5553,320660,51805,7.9,7.6
512,Almost Famous,https://www.imdb.com/title/tt0181875/,45806,48372,74080,47579,17996,6627,2699,1510,1011,2197,149593,45327,7.9,7.8
513,Toy Story 2,https://www.imdb.com/title/tt0120363/,76001,89226,175660,111583,37162,12621,4583,2319,1636,4292,309957,75616,7.9,7.8
514,Boogie Nights,https://www.imdb.com/title/tt0118749/,35617,44072,74406,48199,17717,6621,2739,1687,1061,1994,160789,22664,7.9,7.5
515,Whisper of the Heart,https://www.imdb.com/title/tt0113824/,9266,9345,15171,9433,3423,1127,457,233,165,478,25136,11591,7.8,8.1
516,Once Were Warriors,https://www.imdb.com/title/tt0110729/,6075,6497,9405,5181,1847,793,384,242,167,392,20524,3470,7.8,8.1
517,True Romance,https://www.imdb.com/title/tt0108399/,34299,39910,66315,39520,13531,4621,1843,973,585,1188,138384,20337,7.9,7.8
518,Three Colours: Blue,https://www.imdb.com/title/tt0108394/,15173,17439,26982,15990,5909,2299,1032,596,397,798,53307,13872,7.9,8.0
519,Ninja Scroll,https://www.imdb.com/title/tt0107692/,6213,6425,10256,6411,2443,896,412,228,203,396,25061,1854,7.9,7.4
520,Carlito's Way,https://www.imdb.com/title/tt0106519/,24515,36788,74435,42141,12165,3705,1287,602,408,811,147071,11656,7.9,7.7
521,Edward Scissorhands,https://www.imdb.com/title/tt0099487/,72547,78600,145934,87970,31524,10895,4411,2161,1333,2313,239142,106328,7.8,8.2
522,My Left Foot,https://www.imdb.com/title/tt0097937/,7923,12493,24747,14184,4192,1343,536,308,182,441,43224,9235,7.9,7.9
523,Do the Right Thing,https://www.imdb.com/title/tt0097216/,15681,17591,25662,15078,5736,2467,1212,763,559,1623,58536,7283,7.9,7.8
524,Crimes and Misdemeanors,https://www.imdb.com/title/tt0097123/,9411,10162,16419,10380,3947,1433,586,342,258,678,36073,6107,7.9,7.7
525,The Untouchables,https://www.imdb.com/title/tt0094226/,31840,52876,101944,56117,18082,6418,2453,1196,731,1552,195528,18163,7.9,7.8
526,Hannah and Her Sisters,https://www.imdb.com/title/tt0091167/,10456,12230,21267,13304,4807,1763,763,409,267,595,41723,10259,7.9,7.7
527,The Breakfast Club,https://www.imdb.com/title/tt0088847/,62370,61458,107870,70873,27591,10039,3967,2086,1270,1919,185543,79739,7.8,8.0
528,Brazil,https://www.imdb.com/title/tt0088846/,42864,38140,47362,27170,12739,6585,3288,2134,1494,2863,126001,16662,7.9,7.9
529,This Is Spinal Tap,https://www.imdb.com/title/tt0088258/,32443,22483,33691,20753,8769,3643,1657,998,750,1597,86998,12201,7.9,7.8
530,A Christmas Story,https://www.imdb.com/title/tt0085334/,35826,23012,30193,18344,8498,4038,2064,1372,1067,3319,77650,20942,7.9,8.0
531,The Blues Brothers,https://www.imdb.com/title/tt0080455/,37367,32757,51830,31550,13655,5722,2563,1429,828,1441,118630,17375,7.9,7.7
532,Manhattan,https://www.imdb.com/title/tt0079522/,22311,25759,40036,23117,8997,3519,1674,914,773,2195,83154,19503,7.9,7.8
533,All That Jazz,https://www.imdb.com/title/tt0078754/,5435,4902,7429,4874,2369,1042,522,277,172,323,16992,4281,7.8,7.8
534,Dawn of the Dead,https://www.imdb.com/title/tt0077402/,25156,18874,30516,18597,7793,3460,1613,989,696,1635,78310,8416,7.9,7.5
535,The Holy Mountain,https://www.imdb.com/title/tt0071615/,8862,6681,8710,5200,2328,1200,677,471,407,969,24047,3891,7.8,8.0
536,Amarcord,https://www.imdb.com/title/tt0071129/,8409,7309,10565,6352,2778,1355,662,365,311,816,26095,4564,7.9,8.0
537,The Discreet Charm of the Bourgeoisie,https://www.imdb.com/title/tt0068361/,6750,7221,10680,6735,2759,1216,575,353,227,971,25050,5008,7.9,7.9
538,"Aguirre, Wrath of God",https://www.imdb.com/title/tt0068182/,10954,9747,13275,8397,3799,1727,885,510,416,1353,37135,3679,7.9,7.7
539,Harold and Maude,https://www.imdb.com/title/tt0067185/,17448,13191,17787,10987,4649,2097,1055,617,505,1208,41139,13505,7.8,8.2
540,Patton,https://www.imdb.com/title/tt0066206/,16709,19025,28661,16255,5868,2433,973,563,438,1537,67162,5148,8.0,7.5
541,The Wild Bunch,https://www.imdb.com/title/tt0065214/,15612,14396,21231,13340,5773,2419,1046,627,392,1328,56539,3908,8.0,7.4
542,Night of the Living Dead,https://www.imdb.com/title/tt0063350/,21765,19195,34094,21604,9010,3649,1528,873,531,1151,77633,10851,7.9,7.7
543,The Lion in Winter,https://www.imdb.com/title/tt0063227/,7341,5729,7002,4255,1946,878,427,253,170,475,17395,4781,7.9,8.2
544,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,8768,13048,24618,12711,3806,1225,404,221,163,1131,46032,6235,7.9,8.0
545,Charade,https://www.imdb.com/title/tt0056923/,10898,12831,22628,12616,4455,1431,565,311,189,583,38203,13357,7.8,8.0
546,The Manchurian Candidate,https://www.imdb.com/title/tt0056218/,12351,14874,20884,12397,4957,1988,848,425,352,1180,48297,6971,7.9,7.9
547,Spartacus,https://www.imdb.com/title/tt0054331/,17012,22559,42741,24456,8612,3001,1157,614,372,1597,86289,9266,7.9,7.7
548,L'Avventura,https://www.imdb.com/title/tt0053619/,5292,4616,6763,4649,2171,994,480,291,205,266,17400,2978,7.9,7.8
549,Breathless,https://www.imdb.com/title/tt0053472/,13260,13423,20149,12963,5445,2492,1150,651,443,1208,45584,10250,7.9,7.8
550,Hiroshima Mon Amour,https://www.imdb.com/title/tt0052893/,5441,5399,7522,4713,2141,985,504,251,206,337,17521,4528,7.9,8.1
551,The Searchers,https://www.imdb.com/title/tt0049730/,18177,13640,20135,13642,6294,2688,1239,671,484,1618,55638,5912,7.9,7.6
552,East of Eden,https://www.imdb.com/title/tt0048028/,6872,7021,12898,7575,2859,1145,445,246,135,251,24157,6927,7.9,8.0
553,High Noon,https://www.imdb.com/title/tt0044706/,17161,19481,28508,17228,6802,2797,1191,621,467,1404,67022,8389,8.0,7.7
554,Strangers on a Train,https://www.imdb.com/title/tt0044079/,16717,25325,41908,23592,7755,2604,959,577,397,1343,80182,15473,7.9,8.0
555,Harvey,https://www.imdb.com/title/tt0042546/,10940,10341,14534,8949,3529,1495,614,396,277,918,33358,8286,7.9,8.2
556,Miracle on 34th Street,https://www.imdb.com/title/tt0039628/,7640,6474,11608,7614,3064,1300,412,284,168,554,22737,7951,7.8,8.0
557,Notorious,https://www.imdb.com/title/tt0038787/,15922,18021,27534,17150,6084,2469,981,547,380,1443,57921,13224,7.9,8.1
558,The Big Sleep,https://www.imdb.com/title/tt0038355/,13898,15835,23057,13796,5551,2309,912,538,397,1299,51788,9398,7.9,7.8
559,The Lost Weekend,https://www.imdb.com/title/tt0037884/,5356,6349,10400,6052,2228,892,409,226,201,729,22760,3833,7.9,7.9
560,The Philadelphia Story,https://www.imdb.com/title/tt0032904/,14116,12242,16381,10392,4345,1941,867,446,350,1129,34771,13545,7.8,8.2
561,His Girl Friday,https://www.imdb.com/title/tt0032599/,10500,10072,14440,9313,3920,1670,698,465,278,1005,31692,9617,7.9,7.9
562,Bringing Up Baby,https://www.imdb.com/title/tt0029947/,12381,9889,13774,8897,4140,1931,958,595,401,1026,31197,10991,7.8,8.0
563,The Adventures of Robin Hood,https://www.imdb.com/title/tt0029843/,10026,8075,13167,8391,3392,1424,562,318,246,822,30963,5654,7.9,7.8
564,A Night at the Opera,https://www.imdb.com/title/tt0026778/,6446,5727,8582,4777,2177,1011,400,270,203,454,20157,3295,7.9,7.9
565,King Kong,https://www.imdb.com/title/tt0024216/,15677,12417,22186,14461,6344,2707,1198,689,463,1424,53814,6743,7.9,7.5
566,Freaks,https://www.imdb.com/title/tt0022913/,7174,7253,12810,7989,3184,1328,536,320,198,429,26813,6043,7.9,8.0
567,Nosferatu,https://www.imdb.com/title/tt0013442/,17781,15546,24946,14632,6330,2737,1308,837,603,2003,56760,11756,7.9,7.9
568,The Salesman,https://www.imdb.com/title/tt5186714/,8261,8153,15408,10427,3531,1293,557,285,216,665,29534,5995,7.8,7.7
569,Perfect Strangers,https://www.imdb.com/title/tt4901306/,5912,9815,20648,12805,3528,1048,361,165,107,191,28979,11545,7.7,7.9
570,Hidden Figures,https://www.imdb.com/title/tt4846340/,27475,36059,70396,41772,11209,3149,1140,520,418,1555,97224,44487,7.7,8.2
571,Paddington 2,https://www.imdb.com/title/tt4468740/,8262,10599,19178,13213,4472,1261,448,224,146,372,33656,8281,7.8,7.9
573,Kubo and the Two Strings,https://www.imdb.com/title/tt4302938/,14482,22195,38017,25671,9380,3012,1058,511,310,603,70571,15112,7.7,8.0
574,Manchester by the Sea,https://www.imdb.com/title/tt4034228/,27268,50092,75202,49793,19756,7553,3232,1927,1443,2565,139549,34569,7.8,7.6
575,Land of Mine,https://www.imdb.com/title/tt3841424/,3126,5797,14097,8171,1900,498,132,71,56,132,22739,3227,7.7,8.0
576,Rogue One,https://www.imdb.com/title/tt3748528/,78883,110312,161153,106885,44500,17464,7333,3964,2638,6143,330358,48160,7.8,7.7
577,Captain America: Civil War,https://www.imdb.com/title/tt3498820/,107584,125225,186948,129235,52169,19408,7759,4272,2831,9797,368166,64893,7.8,7.8
578,The Hateful Eight,https://www.imdb.com/title/tt3460252/,59015,100094,172258,100590,35870,13282,6185,3751,2811,5996,316086,45497,7.8,7.5
579,Little Women,https://www.imdb.com/title/tt3281548/,17824,25663,38433,24521,8936,3479,1484,883,624,1595,52199,28269,7.7,8.0
580,Loving Vincent,https://www.imdb.com/title/tt3262342/,7745,9029,15839,10168,3680,1196,404,182,125,180,25166,9828,7.7,8.1
581,Pride,https://www.imdb.com/title/tt3169706/,7728,9435,16752,10388,3386,1136,431,252,196,999,28160,12253,7.6,8.1
582,The Past,https://www.imdb.com/title/tt2404461/,7855,7429,13628,9091,3290,1213,503,290,233,623,29213,6827,7.8,7.7
583,The Great Beauty,https://www.imdb.com/title/tt2358891/,13303,16710,21718,13777,6160,3011,1558,960,669,1090,50087,14006,7.8,7.8
586,Big Hero 6,https://www.imdb.com/title/tt2245084/,59316,74266,133703,87621,30189,9401,3070,1352,704,1763,224365,70323,7.7,8.1
587,About Time,https://www.imdb.com/title/tt2194499/,49382,54503,91775,59235,21526,7311,2865,1379,826,1435,155214,70193,7.8,7.9
589,The Broken Circle Breakdown,https://www.imdb.com/title/tt2024519/,5026,7872,12632,7948,2795,1071,434,270,242,378,23075,9195,7.7,8.0
590,The Wind Rises,https://www.imdb.com/title/tt2013293/,9686,12548,22491,15892,5918,2003,748,406,242,415,42281,11359,7.8,7.6
591,Toy Story 4,https://www.imdb.com/title/tt1979376/,25134,34336,61313,43387,15530,5138,2033,842,582,1533,104004,21449,7.8,7.8
592,Deception,https://www.imdb.com/title/tt1924396/,13469,20560,38062,22136,6950,2300,796,413,231,436,64350,19970,7.8,7.9
593,Moonrise Kingdom,https://www.imdb.com/title/tt1748122/,40443,63745,102407,62739,23271,8916,3976,2224,1541,2748,188880,60775,7.8,7.8
594,How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/,48946,53237,94422,65837,23182,7214,2478,1125,722,1552,172664,52742,7.7,8.1
595,The Big Short,https://www.imdb.com/title/tt1596363/,31686,64630,130609,81271,25676,8328,3062,1552,974,1777,219436,41127,7.8,7.6
596,Confessions,https://www.imdb.com/title/tt1590089/,5176,7093,10945,6438,2591,1152,584,283,242,405,23317,5940,7.7,7.9
597,I Saw the Devil,https://www.imdb.com/title/tt1588170/,14485,21224,35350,20753,7541,2966,1436,824,504,1217,76077,10289,7.8,7.6
598,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1568346/,47075,80451,147332,88289,28378,9468,3880,2131,1501,3711,269495,69545,7.8,7.8
599,Captain Phillips,https://www.imdb.com/title/tt1535109/,41384,78254,158163,94596,26675,7379,2425,1222,829,1708,280285,46628,7.8,7.8
600,The Man from Nowhere,https://www.imdb.com/title/tt1527788/,9309,10992,20607,13015,4298,1404,570,274,177,414,44601,5246,7.8,7.9
601,Straight Outta Compton,https://www.imdb.com/title/tt1398426/,27476,33605,61527,35197,10535,3158,1169,649,514,2509,114766,16713,7.8,7.9
602,Mother,https://www.imdb.com/title/tt1216496/,4766,9107,18292,11133,3456,1096,461,228,168,412,33716,5348,7.8,7.8
603,The Chaser,https://www.imdb.com/title/tt1190539/,6285,11077,21170,11765,3477,1217,458,273,152,495,41233,4402,7.9,7.8
604,The Hobbit: The Desolation of Smaug,https://www.imdb.com/title/tt1170358/,105521,110310,176393,113651,47010,18472,7738,4137,2565,5454,376022,81447,7.8,8.0
605,The White Ribbon,https://www.imdb.com/title/tt1149362/,9251,13687,20661,12941,5552,2318,1150,647,411,820,46503,10399,7.8,7.8
606,The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1132620/,22286,39863,77759,44084,13324,4421,1763,910,618,1190,138903,36265,7.8,8.0
607,The Fighter,https://www.imdb.com/title/tt0964517/,30204,60668,135257,76677,21008,5760,1936,1029,607,1316,242365,33960,7.8,7.7
608,Taken,https://www.imdb.com/title/tt0936501/,78057,102225,193937,117763,39961,13570,5534,2795,1701,2789,394844,65775,7.8,7.8
609,The Boy in the Striped Pyjamas,https://www.imdb.com/title/tt0914798/,24719,33132,65160,40275,13455,4677,1869,905,554,1335,101817,44562,7.6,8.1
610,Once,https://www.imdb.com/title/tt0907657/,19428,22556,31974,20043,8036,3192,1429,781,582,1156,65979,25060,7.8,7.7
611,The Hobbit: An Unexpected Journey,https://www.imdb.com/title/tt0903624/,143703,140760,214768,140215,59379,22764,9354,5075,3143,7322,476614,111556,7.8,8.1
612,The Edge of Heaven,https://www.imdb.com/title/tt0880502/,4091,5764,10404,6342,2064,736,308,184,109,351,20465,5683,7.8,7.8
613,Atonement,https://www.imdb.com/title/tt0783233/,37743,45439,75643,49714,19022,7488,3458,1885,1300,2490,122027,76395,7.7,7.9
614,Drive,https://www.imdb.com/title/tt0780504/,85254,113432,160401,103357,46297,20290,10286,6308,4516,9164,381238,71887,7.8,7.5
615,American Gangster,https://www.imdb.com/title/tt0765429/,45587,70853,140939,84773,25709,8063,2829,1369,884,2947,289819,27597,7.8,7.6
616,Avatar,https://www.imdb.com/title/tt0499549/,238533,205546,264719,186524,91004,43726,21808,13879,10026,26298,711468,163332,7.8,7.7
617,Mr. Nobody,https://www.imdb.com/title/tt0485947/,41378,43599,57947,36324,16074,7431,3390,2138,1392,2337,129285,40456,7.8,7.9
618,Apocalypto,https://www.imdb.com/title/tt0472043/,44809,54010,92836,55158,20689,8250,3845,2215,1562,3128,208987,28767,7.8,7.8
619,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/,65525,83053,138288,86788,31462,11703,5101,2912,2073,5501,257642,93868,7.8,7.9
620,Hot Fuzz,https://www.imdb.com/title/tt0425112/,76029,85903,142164,89062,34237,12467,5186,2812,1883,4914,311444,49777,7.8,7.9
621,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,87426,109826,176360,116061,46776,18348,8343,4580,3051,5540,353901,110856,7.8,7.8
623,Adam's Apples,https://www.imdb.com/title/tt0418455/,6106,8435,15123,9195,3335,1217,429,251,152,289,29693,7322,7.7,8.0
624,Pride & Prejudice,https://www.imdb.com/title/tt0414387/,56184,41696,66185,47942,19483,7552,3309,1871,1360,2867,87147,108574,7.5,8.1
625,The World's Fastest Indian,https://www.imdb.com/title/tt0412080/,8366,9502,17381,10640,3444,1046,342,174,118,264,38420,4583,7.8,7.8
