Rank,Title,url,Votes_10,Votes_9,Votes_8,Votes_7,Votes_6,Votes_5,Votes_4,Votes_3,Votes_2,Votes_1,Votes_M,Votes_F,AvgRating_M,AvgRating_F
59,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,83887,98559,89423,40887,12488,4281,1764,1114,979,3853,189997,28063,8.3,8.5
60,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,281952,162305,143087,83128,36167,16215,7174,4872,3745,19510,402777,70129,8.3,8.5
61,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,277243,201804,165857,83705,31850,12392,5530,3632,2913,13494,444554,76838,8.4,8.4
62,Coco,https://www.imdb.com/title/tt2380307/,89544,96261,97825,46525,14122,4266,1552,818,629,2089,182475,56045,8.3,8.6
63,Django Unchained,https://www.imdb.com/title/tt1853728/,281600,417353,370548,156078,48399,18231,8626,5285,4094,9503,810216,162358,8.4,8.3
64,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/,423008,404934,357776,172157,63011,24820,11845,6901,4964,13304,948574,161234,8.4,8.4
67,WALL·E,https://www.imdb.com/title/tt0910970/,238490,266681,255075,126935,43887,17328,8230,5123,3764,10337,590095,149227,8.4,8.4
68,The Lives of Others,https://www.imdb.com/title/tt0405094/,72757,111409,100039,40623,11912,4796,2376,1200,972,3985,228716,48455,8.4,8.5
69,Oldboy,https://www.imdb.com/title/tt0364569/,119043,144797,128341,59306,22043,9880,5226,3130,2536,7492,338141,50604,8.4,8.2
70,Memento,https://www.imdb.com/title/tt0209144/,248146,331624,297359,134818,43382,17639,8540,5052,3882,10141,697861,133871,8.5,8.2
71,Princess Mononoke,https://www.imdb.com/title/tt0119698/,86016,89013,85385,41857,13937,5626,2725,1494,1244,4354,193887,52000,8.4,8.4
72,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,75806,78944,79769,39150,13942,6107,3077,1732,1311,2948,209444,21943,8.4,8.1
73,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,208756,236939,241653,116001,34701,12715,5455,2767,1998,5399,553901,87274,8.5,8.2
74,The Shining,https://www.imdb.com/title/tt0081505/,197063,242704,234711,115209,41220,17168,8163,4848,3309,6447,522228,122072,8.4,8.3
75,Apocalypse Now,https://www.imdb.com/title/tt0078788/,157472,157792,141052,74111,29080,13083,6608,3958,2832,6016,401644,42806,8.5,8.1
76,Alien,https://www.imdb.com/title/tt0078748/,174410,217885,216437,102532,31909,12095,5304,2909,2018,4337,501444,72143,8.5,8.2
77,High and Low,https://www.imdb.com/title/tt0057565/,7115,8690,8545,3513,1133,535,262,231,225,1154,21895,2284,8.5,8.1
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/,125253,111070,101062,54922,22012,10434,5043,2959,2283,6575,293405,37821,8.4,8.1
79,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/,20293,29697,31247,13270,4245,2251,1151,510,556,1600,65413,11993,8.4,8.4
80,Paths of Glory,https://www.imdb.com/title/tt0050825/,37774,47543,48387,22620,7426,3265,1602,880,848,2628,118956,10672,8.4,8.1
81,Rear Window,https://www.imdb.com/title/tt0047396/,100573,121651,120122,56052,17588,6790,3141,1722,1352,4025,263364,59875,8.4,8.5
82,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,48774,48286,50416,26145,9950,4679,2329,1236,1008,3298,120458,26846,8.4,8.4
83,The Great Dictator,https://www.imdb.com/title/tt0032553/,50333,53530,50878,23622,8629,3885,2006,1046,848,2927,129560,20048,8.4,8.5
